# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094833
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696287373182,0.22558594,-0.032226562,0.953125,-0.21875,-0.15625,0.1875,0.0,0.0,0.0
1696287373210,0.22460938,-0.032226562,0.95996094,-0.25,-0.15625,0.0,0.0,0.0,0.0
1696287373271,0.22460938,-0.032226562,0.97265625,0.09375,-0.15625,0.0625,0.0,0.0,0.0
1696287373301,0.2265625,-0.040039062,0.9746094,0.15625,-0.09375,0.4375,0.0,0.0,0.0
1696287373330,0.22070312,-0.036132812,0.9746094,-0.21875,0.03125,0.25,-6.0,-36.4375,-162.5
1696287373391,0.21777344,-0.043945312,0.9716797,0.09375,-0.21875,0.25,0.0,0.0,0.0
1696287373423,0.23144531,-0.043945312,0.9746094,-0.09375,-0.09375,0.125,0.0,0.0,0.0
1696287373451,0.22070312,-0.037109375,0.984375,0.03125,-0.40625,0.3125,0.0,0.0,0.0
1696287373513,0.21972656,-0.033203125,0.9628906,-0.21875,-0.09375,-0.0625,0.0,0.0,0.0
1696287373541,0.22558594,-0.046875,0.9658203,-0.09375,-0.09375,0.1875,0.0,0.0,0.0
1696287373572,0.22460938,-0.032226562,0.9707031,0.09375,0.375,0.0625,0.0,0.0,0.0
1696287373634,0.23046875,-0.03125,0.9560547,-0.03125,-0.53125,0.125,0.0,0.0,0.0
1696287373661,0.21679688,-0.02734375,0.9814453,-0.4375,0.125,-0.0625,0.0,0.0,0.0
1696287373691,0.2109375,-0.040039062,0.97753906,-0.03125,-0.28125,0.25,0.0,0.0,0.0
1696287373754,0.22460938,-0.040039062,0.97753906,-0.375,-0.21875,0.3125,0.0,0.0,0.0
1696287373783,0.22949219,-0.04296875,0.9785156,-0.15625,-0.15625,0.1875,0.0,0.0,0.0
1696287373810,0.22167969,-0.038085938,0.97558594,0.15625,0.1875,-0.125,-5.6875,-35.9375,-162.8125
1696287373870,0.22558594,-0.029296875,0.96777344,0.21875,0.03125,-0.1875,0.0,0.0,0.0
1696287373903,0.22460938,-0.030273438,0.97558594,-0.21875,-0.21875,0.0,0.0,0.0,0.0
1696287373931,0.21777344,-0.048828125,0.9707031,0.21875,0.03125,0.0625,0.0,0.0,0.0
1696287374025,0.23046875,-0.045898438,0.9580078,-0.09375,-0.21875,0.0625,0.0,0.0,0.0
1696287374057,0.22558594,-0.034179688,0.9794922,-0.03125,-0.15625,0.0,0.0,0.0,0.0
1696287374059,0.21875,-0.034179688,0.96484375,-0.21875,-0.21875,0.1875,0.0,0.0,0.0
1696287374115,0.23339844,-0.02734375,0.9707031,-0.03125,-0.09375,-0.125,0.0,0.0,0.0
1696287374142,0.2265625,-0.038085938,0.97558594,-0.25,0.03125,-0.125,0.0,0.0,0.0
