# Sensor type: Thingy
# Activity type: Lying down on left
# Activity subtype: Normal
# Subject id: s2094833
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696291581917,-0.36035156,0.8857422,0.26464844,-0.03125,0.15625,0.0625,0.0,0.0,0.0
1696291581947,-0.359375,0.8876953,0.27148438,0.21875,0.15625,0.0,0.0,0.0,0.0
1696291582010,-0.34765625,0.8857422,0.29003906,0.5625,0.21875,-0.4375,0.0,0.0,0.0
1696291582039,-0.36035156,0.8847656,0.2763672,0.09375,0.09375,-0.375,0.0,0.0,0.0
1696291582067,-0.36035156,0.8886719,0.2763672,-0.15625,-0.34375,0.125,0.0,0.0,0.0
1696291582128,-0.36132812,0.88671875,0.26464844,-0.34375,-0.40625,0.375,0.0,0.0,0.0
1696291582158,-0.35839844,0.8886719,0.26953125,-0.46875,-0.40625,0.25,0.0,0.0,0.0
1696291582190,-0.3466797,0.88378906,0.26367188,-0.40625,-0.34375,0.0,0.0,0.0,0.0
1696291582279,-0.36523438,0.88671875,0.29003906,-0.09375,-0.15625,0.0,-36.3125,2.0,-191.625
1696291582281,-0.359375,0.8857422,0.28027344,-0.03125,0.03125,0.125,0.0,0.0,0.0
1696291582308,-0.35546875,0.88378906,0.27246094,0.4375,0.625,0.25,0.0,0.0,0.0
1696291582372,-0.35058594,0.88671875,0.26757812,0.625,0.875,0.125,0.0,0.0,0.0
1696291582400,-0.35253906,0.89453125,0.26953125,0.625,0.53125,-0.5,0.0,0.0,0.0
1696291582427,-0.34472656,0.8886719,0.2548828,1.71875,0.28125,-1.03125,0.0,0.0,0.0
1696291582489,-0.36132812,0.8847656,0.2626953,1.5625,0.09375,-0.96875,0.0,0.0,0.0
1696291582517,-0.37402344,0.8857422,0.26757812,1.4375,0.09375,-0.84375,0.0,0.0,0.0
1696291582550,-0.3720703,0.8798828,0.2578125,1.0625,0.40625,-0.125,0.0,0.0,0.0
1696291582579,-0.35742188,0.8925781,0.25390625,0.4375,0.5625,0.25,0.0,0.0,0.0
1696291582640,-0.3701172,0.90722656,0.2578125,-0.15625,0.34375,0.1875,0.0,0.0,0.0
1696291582669,-0.359375,0.8955078,0.24414062,-0.78125,-0.09375,0.25,0.0,0.0,0.0
1696291582699,-0.3515625,0.89453125,0.2685547,-1.0,-0.71875,0.1875,0.0,0.0,0.0
1696291582767,-0.3642578,0.8876953,0.2783203,-1.375,-0.75,0.3125,-37.1875,3.5,-192.1875
1696291582788,-0.3564453,0.8798828,0.27539062,-0.84375,-0.53125,0.53125,0.0,0.0,0.0
1696291582822,-0.3466797,0.8876953,0.265625,-0.59375,-0.28125,0.4375,0.0,0.0,0.0
1696291582880,-0.35351562,0.8876953,0.28222656,-0.34375,-0.46875,0.0,0.0,0.0,0.0
1696291582908,-0.3671875,0.8857422,0.25195312,0.34375,0.5625,0.0,0.0,0.0,0.0
1696291582938,-0.34765625,0.8964844,0.2763672,0.5,0.9375,0.0625,0.0,0.0,0.0
1696291583003,-0.3515625,0.8955078,0.2861328,0.75,0.46875,-0.0625,0.0,0.0,0.0
1696291583027,-0.35546875,0.8925781,0.26171875,1.0625,0.28125,-0.25,0.0,0.0,0.0
1696291583059,-0.36132812,0.88183594,0.25683594,0.9375,0.40625,-0.4375,0.0,0.0,0.0
1696291583118,-0.3544922,0.8925781,0.26953125,1.0625,0.53125,-0.4375,0.0,0.0,0.0
1696291583159,-0.35742188,0.8925781,0.24609375,1.0625,0.46875,-0.3125,0.0,0.0,0.0
1696291583182,-0.35839844,0.8886719,0.2626953,1.0625,0.53125,-0.1875,0.0,0.0,0.0
1696291583238,-0.35253906,0.8925781,0.26367188,-0.09375,0.53125,0.25,0.0,0.0,0.0
1696291583272,-0.3544922,0.88671875,0.26757812,0.28125,0.21875,0.125,-36.4375,1.8125,-192.8125
1696291583298,-0.3623047,0.890625,0.24609375,0.21875,0.15625,0.0,0.0,0.0,0.0
1696291583358,-0.3486328,0.8876953,0.25878906,0.03125,-0.03125,0.0625,0.0,0.0,0.0
1696291583421,-0.36035156,0.8876953,0.25585938,-0.40625,-0.15625,0.125,0.0,0.0,0.0
1696291583423,-0.35351562,0.87890625,0.25976562,-0.03125,-0.09375,0.125,0.0,0.0,0.0
1696291583480,-0.35546875,0.88378906,0.265625,-0.09375,-0.03125,0.1875,0.0,0.0,0.0
1696291583510,-0.36328125,0.8886719,0.27441406,-0.34375,-0.34375,-0.0625,0.0,0.0,0.0
1696291583540,-0.3564453,0.8857422,0.26171875,-0.15625,0.21875,0.0,0.0,0.0,0.0
1696291583598,-0.35253906,0.8886719,0.26660156,-0.15625,0.34375,0.3125,0.0,0.0,0.0
1696291583629,-0.3515625,0.88183594,0.25683594,-0.03125,-0.15625,0.0,0.0,0.0,0.0
1696291583658,-0.35058594,0.8847656,0.26171875,0.34375,0.09375,0.0,0.0,0.0,0.0
