# Sensor type: Thingy
# Activity type: Lying down on stomach
# Activity subtype: Normal
# Subject id: s2094833
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696292174719,0.16503906,-0.10058594,-0.96484375,0.46875,-0.59375,0.15625,0.0,0.0,0.0
1696292174778,0.16894531,-0.111328125,-0.9941406,1.1875,0.625,0.15625,-10.8125,-26.1875,-258.0625
1696292174808,0.17285156,-0.1171875,-0.9824219,0.90625,1.125,-0.03125,0.0,0.0,0.0
1696292174838,0.17675781,-0.11230469,-0.98535156,-0.5625,0.09375,-0.09375,0.0,0.0,0.0
1696292174898,0.17089844,-0.09667969,-0.9892578,-0.28125,-0.40625,0.15625,0.0,0.0,0.0
1696292174927,0.17578125,-0.111328125,-1.0019531,-0.15625,-0.40625,0.03125,0.0,0.0,0.0
1696292174959,0.16210938,-0.10253906,-0.9863281,-0.34375,-0.21875,0.15625,0.0,0.0,0.0
1696292175020,0.16210938,-0.10644531,-0.9746094,-0.34375,-0.15625,-0.03125,0.0,0.0,0.0
1696292175047,0.171875,-0.10644531,-0.9638672,-0.21875,-0.09375,0.09375,0.0,0.0,0.0
1696292175080,0.17089844,-0.107421875,-0.9941406,-0.09375,-0.34375,0.09375,0.0,0.0,0.0
1696292175140,0.16699219,-0.11621094,-1.0048828,-0.15625,-0.21875,0.09375,0.0,0.0,0.0
1696292175170,0.16699219,-0.109375,-0.9873047,-0.09375,0.09375,-0.03125,0.0,0.0,0.0
1696292175204,0.17089844,-0.107421875,-0.98828125,-0.03125,-0.21875,0.15625,0.0,0.0,0.0
1696292175258,0.18261719,-0.11425781,-0.9785156,-0.15625,-0.65625,0.09375,-10.5,-24.6875,-258.0625
1696292175289,0.17089844,-0.10449219,-0.9941406,-0.28125,-0.65625,0.15625,0.0,0.0,0.0
1696292175318,0.17382812,-0.103515625,-0.9814453,-0.4375,-0.65625,-0.03125,0.0,0.0,0.0
1696292175378,0.16992188,-0.10839844,-0.98828125,-0.5,-0.53125,0.09375,0.0,0.0,0.0
1696292175411,0.16503906,-0.103515625,-0.9785156,-0.375,-0.59375,0.09375,0.0,0.0,0.0
1696292175439,0.16601562,-0.10253906,-0.9980469,-0.28125,-0.46875,0.03125,0.0,0.0,0.0
1696292175499,0.16699219,-0.10253906,-0.9824219,0.03125,-0.40625,0.09375,0.0,0.0,0.0
1696292175532,0.17675781,-0.107421875,-0.9892578,-0.03125,-0.21875,0.09375,0.0,0.0,0.0
1696292175558,0.16796875,-0.099609375,-0.9863281,-0.09375,-0.46875,0.09375,0.0,0.0,0.0
1696292175619,0.16992188,-0.103515625,-1.0,-0.15625,-0.21875,0.15625,0.0,0.0,0.0
1696292175648,0.16601562,-0.103515625,-0.99316406,-0.21875,-0.09375,0.09375,0.0,0.0,0.0
1696292175678,0.17285156,-0.10253906,-0.9785156,-0.34375,-0.40625,0.15625,0.0,0.0,0.0
1696292175737,0.16601562,-0.103515625,-0.9863281,-0.375,-0.34375,0.09375,0.0,0.0,0.0
1696292175769,0.17089844,-0.10839844,-0.99316406,-0.5,-0.46875,0.09375,-11.6875,-24.25,-257.3125
1696292175801,0.17480469,-0.10839844,-0.9970703,-0.375,-0.15625,-0.09375,0.0,0.0,0.0
1696292175860,0.1640625,-0.10449219,-0.99316406,-0.15625,-0.34375,0.09375,0.0,0.0,0.0
1696292175889,0.16308594,-0.10644531,-0.984375,0.03125,-0.15625,0.21875,0.0,0.0,0.0
1696292175919,0.16113281,-0.109375,-0.9941406,-0.03125,-0.21875,-0.03125,0.0,0.0,0.0
1696292175981,0.16113281,-0.09277344,-0.99609375,-0.15625,-0.21875,0.09375,0.0,0.0,0.0
1696292176008,0.16601562,-0.1015625,-0.99316406,-0.03125,-0.28125,0.09375,0.0,0.0,0.0
1696292176041,0.15917969,-0.10058594,-0.97753906,-0.03125,-0.21875,0.15625,0.0,0.0,0.0
1696292176098,0.16699219,-0.1015625,-0.9902344,-0.28125,-0.03125,0.09375,0.0,0.0,0.0
1696292176128,0.16503906,-0.1015625,-0.9863281,-0.15625,-0.21875,-0.03125,0.0,0.0,0.0
1696292176159,0.16699219,-0.11425781,-0.9863281,-0.03125,-0.40625,0.21875,0.0,0.0,0.0
1696292176221,0.1640625,-0.10253906,-0.98828125,-0.03125,-0.34375,0.03125,0.0,0.0,0.0
1696292176248,0.16113281,-0.11035156,-0.99609375,0.03125,-0.15625,0.15625,-11.125,-25.0,-258.9375
1696292176279,0.16210938,-0.10058594,-0.99316406,0.03125,-0.09375,0.09375,0.0,0.0,0.0
1696292176338,0.15917969,-0.099609375,-0.9765625,0.09375,-0.28125,0.28125,0.0,0.0,0.0
1696292176368,0.16113281,-0.099609375,-0.98339844,-0.03125,-0.21875,0.28125,0.0,0.0,0.0
1696292176399,0.16601562,-0.10546875,-0.9814453,-0.03125,0.28125,0.09375,0.0,0.0,0.0
1696292176458,0.16503906,-0.1015625,-0.99316406,0.03125,0.09375,0.09375,0.0,0.0,0.0
1696292176490,0.16308594,-0.10644531,-0.98828125,0.09375,-0.15625,0.15625,0.0,0.0,0.0
1696292176518,0.16699219,-0.109375,-0.98828125,0.15625,-0.09375,0.09375,0.0,0.0,0.0
1696292176580,0.16113281,-0.115234375,-0.9951172,0.03125,0.03125,0.15625,0.0,0.0,0.0
1696292176607,0.16503906,-0.10546875,-0.98339844,-0.03125,-0.21875,0.09375,0.0,0.0,0.0
1696292176642,0.16894531,-0.109375,-0.9794922,-0.09375,-0.21875,0.15625,0.0,0.0,0.0
1696292176700,0.15820312,-0.09667969,-0.9951172,-0.09375,-0.03125,0.09375,0.0,0.0,0.0
1696292176732,0.16308594,-0.10253906,-0.98339844,0.03125,0.15625,0.28125,0.0,0.0,0.0
1696292176760,0.16308594,-0.10449219,-0.9824219,-0.03125,-0.09375,0.09375,-11.6875,-23.5,-257.625
1696292176819,0.1640625,-0.10546875,-0.98828125,0.21875,0.15625,0.09375,0.0,0.0,0.0
1696292176850,0.16601562,-0.10546875,-0.98046875,0.21875,0.5625,-0.03125,0.0,0.0,0.0
1696292176909,0.16503906,-0.10546875,-0.9902344,0.21875,0.6875,0.09375,0.0,0.0,0.0
1696292176972,0.15820312,-0.10058594,-0.9980469,0.15625,0.75,-0.09375,0.0,0.0,0.0
1696292176974,0.16308594,-0.1171875,-0.9863281,0.03125,0.6875,-0.03125,0.0,0.0,0.0
1696292177000,0.16796875,-0.103515625,-0.99609375,0.15625,0.40625,-0.09375,0.0,0.0,0.0
1696292177067,0.16210938,-0.107421875,-0.97753906,0.28125,0.40625,0.15625,0.0,0.0,0.0
1696292177094,0.16796875,-0.10449219,-0.9736328,0.40625,0.34375,-0.03125,0.0,0.0,0.0
1696292177118,0.16308594,-0.10546875,-0.9824219,0.53125,0.40625,0.09375,0.0,0.0,0.0
